pred1,pred2,p_val,code,type,q_val,gene
CADD (0.022),CADD (0.022),1,30740,PCC,0.68255207585131,gigyf1
DANN (0.023),CADD (0.022),0.64,30740,PCC,0.572808408753648,gigyf1
Eigen (0.016),CADD (0.022),0.653,30740,PCC,0.573871037164256,gigyf1
FATHMM (-0.019),CADD (0.022),0.476,30740,PCC,0.572808408753648,gigyf1
GenoCanyon (0.022),CADD (0.022),0.679,30740,PCC,0.578111675055766,gigyf1
LRT (0.012),CADD (0.022),0.706,30740,PCC,0.587064079859116,gigyf1
M-CAP (0.051),CADD (0.022),0.316,30740,PCC,0.572808408753648,gigyf1
MPC (-0.009),CADD (0.022),0.618,30740,PCC,0.572808408753648,gigyf1
MVP (0.030),CADD (0.022),0.491,30740,PCC,0.572808408753648,gigyf1
MetaLR (0.007),CADD (0.022),0.602,30740,PCC,0.572808408753648,gigyf1
MetaSVM (0.017),CADD (0.022),0.572,30740,PCC,0.572808408753648,gigyf1
MutPred (0.077),CADD (0.022),0.179,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),CADD (0.022),0.586,30740,PCC,0.572808408753648,gigyf1
PROVEAN (0.055),CADD (0.022),0.26,30740,PCC,0.572808408753648,gigyf1
PolyPhen-2 (0.031),CADD (0.022),0.477,30740,PCC,0.572808408753648,gigyf1
PrimateAI (0.071),CADD (0.022),0.133,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),CADD (0.022),0.558,30740,PCC,0.572808408753648,gigyf1
SIFT (0.024),CADD (0.022),0.635,30740,PCC,0.572808408753648,gigyf1
SiPhy (-0.004),CADD (0.022),0.645,30740,PCC,0.572988402070405,gigyf1
VARITY (0.058),CADD (0.022),0.238,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),DANN (0.023),0.36,30740,PCC,0.572808408753648,gigyf1
DANN (0.023),DANN (0.023),1,30740,PCC,0.68255207585131,gigyf1
Eigen (0.016),DANN (0.023),0.444,30740,PCC,0.572808408753648,gigyf1
FATHMM (-0.019),DANN (0.023),0.389,30740,PCC,0.572808408753648,gigyf1
GenoCanyon (0.022),DANN (0.023),0.594,30740,PCC,0.572808408753648,gigyf1
LRT (0.012),DANN (0.023),0.652,30740,PCC,0.573871037164256,gigyf1
M-CAP (0.051),DANN (0.023),0.22,30740,PCC,0.572808408753648,gigyf1
MPC (-0.009),DANN (0.023),0.517,30740,PCC,0.572808408753648,gigyf1
MVP (0.030),DANN (0.023),0.343,30740,PCC,0.572808408753648,gigyf1
MetaLR (0.007),DANN (0.023),0.463,30740,PCC,0.572808408753648,gigyf1
MetaSVM (0.017),DANN (0.023),0.418,30740,PCC,0.572808408753648,gigyf1
MutPred (0.077),DANN (0.023),0.11,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),DANN (0.023),0.482,30740,PCC,0.572808408753648,gigyf1
PROVEAN (0.055),DANN (0.023),0.15,30740,PCC,0.572808408753648,gigyf1
PolyPhen-2 (0.031),DANN (0.023),0.358,30740,PCC,0.572808408753648,gigyf1
PrimateAI (0.071),DANN (0.023),0.08,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),DANN (0.023),0.42,30740,PCC,0.572808408753648,gigyf1
SIFT (0.024),DANN (0.023),0.473,30740,PCC,0.572808408753648,gigyf1
SiPhy (-0.004),DANN (0.023),0.546,30740,PCC,0.572808408753648,gigyf1
VARITY (0.058),DANN (0.023),0.165,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),Eigen (0.016),0.347,30740,PCC,0.572808408753648,gigyf1
DANN (0.023),Eigen (0.016),0.556,30740,PCC,0.572808408753648,gigyf1
Eigen (0.016),Eigen (0.016),1,30740,PCC,0.68255207585131,gigyf1
FATHMM (-0.019),Eigen (0.016),0.435,30740,PCC,0.572808408753648,gigyf1
GenoCanyon (0.022),Eigen (0.016),0.603,30740,PCC,0.572808408753648,gigyf1
LRT (0.012),Eigen (0.016),0.673,30740,PCC,0.576599431440918,gigyf1
M-CAP (0.051),Eigen (0.016),0.242,30740,PCC,0.572808408753648,gigyf1
MPC (-0.009),Eigen (0.016),0.559,30740,PCC,0.572808408753648,gigyf1
MVP (0.030),Eigen (0.016),0.388,30740,PCC,0.572808408753648,gigyf1
MetaLR (0.007),Eigen (0.016),0.495,30740,PCC,0.572808408753648,gigyf1
MetaSVM (0.017),Eigen (0.016),0.456,30740,PCC,0.572808408753648,gigyf1
MutPred (0.077),Eigen (0.016),0.149,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),Eigen (0.016),0.515,30740,PCC,0.572808408753648,gigyf1
PROVEAN (0.055),Eigen (0.016),0.211,30740,PCC,0.572808408753648,gigyf1
PolyPhen-2 (0.031),Eigen (0.016),0.358,30740,PCC,0.572808408753648,gigyf1
PrimateAI (0.071),Eigen (0.016),0.111,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),Eigen (0.016),0.459,30740,PCC,0.572808408753648,gigyf1
SIFT (0.024),Eigen (0.016),0.548,30740,PCC,0.572808408753648,gigyf1
SiPhy (-0.004),Eigen (0.016),0.592,30740,PCC,0.572808408753648,gigyf1
VARITY (0.058),Eigen (0.016),0.201,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),FATHMM (-0.019),0.524,30740,PCC,0.572808408753648,gigyf1
DANN (0.023),FATHMM (-0.019),0.611,30740,PCC,0.572808408753648,gigyf1
Eigen (0.016),FATHMM (-0.019),0.565,30740,PCC,0.572808408753648,gigyf1
FATHMM (-0.019),FATHMM (-0.019),1,30740,PCC,0.68255207585131,gigyf1
GenoCanyon (0.022),FATHMM (-0.019),0.663,30740,PCC,0.574036396984463,gigyf1
LRT (0.012),FATHMM (-0.019),0.698,30740,PCC,0.583968967040916,gigyf1
M-CAP (0.051),FATHMM (-0.019),0.36,30740,PCC,0.572808408753648,gigyf1
MPC (-0.009),FATHMM (-0.019),0.635,30740,PCC,0.572808408753648,gigyf1
MVP (0.030),FATHMM (-0.019),0.492,30740,PCC,0.572808408753648,gigyf1
MetaLR (0.007),FATHMM (-0.019),0.6,30740,PCC,0.572808408753648,gigyf1
MetaSVM (0.017),FATHMM (-0.019),0.546,30740,PCC,0.572808408753648,gigyf1
MutPred (0.077),FATHMM (-0.019),0.262,30740,PCC,0.572808408753648,gigyf1
